ko,en,cn,jp,vi,description
아스카탄의 결의 장갑 (귀속),Resolute Askatan Gloves (Bound),,,,equipment
아스카탄의 수호 장갑,Protective Askatan Gloves,,,,equipment
아스카탄의 수호 장갑 (귀속),Protective Askatan Gloves (Bound),,,,equipment
아스카탄의 용맹 장갑,Courageous Askatan Gloves,,,,equipment
아스카탄의 용맹 장갑 (귀속),Courageous Askatan Gloves (Bound),,,,equipment
아스카탄의 투지 장갑,Valorous Askatan Gloves,,,,equipment
아스카탄의 투지 장갑 (귀속),Valorous Askatan Gloves (Bound),,,,equipment
아스카탄의 신념 신발,Faithful Askatan Shoes,,,,equipment
아스카탄의 신념 신발 (귀속),Faithful Askatan Shoes (Bound),,,,equipment
아스카탄의 총명 신발,Wise Askatan Shoes,,,,equipment
아스카탄의 총명 신발 (귀속),Wise Askatan Shoes (Bound),,,,equipment
아스카탄의 결의 신발,Resolute Askatan Shoes,,,,equipment
아스카탄의 결의 신발 (귀속),Resolute Askatan Shoes (Bound),,,,equipment
아스카탄의 수호 신발,Protective Askatan Shoes,,,,equipment
아스카탄의 수호 신발 (귀속),Protective Askatan Shoes (Bound),,,,equipment
아스카탄의 용맹 신발,Courageous Askatan Shoes,,,,equipment
아스카탄의 용맹 신발 (귀속),Courageous Askatan Shoes (Bound),,,,equipment
아스카탄의 투지 신발,Valorous Askatan Shoes,,,,equipment
아스카탄의 투지 신발 (귀속),Valorous Askatan Shoes (Bound),,,,equipment
아스카탄의 신념 망토,Faithful Askatan Cloak,,,,equipment
아스카탄의 신념 망토 (귀속),Faithful Askatan Cloak (Bound),,,,equipment
아스카탄의 총명 망토,Wise Askatan Cloak,,,,equipment
아스카탄의 총명 망토 (귀속),Wise Askatan Cloak (Bound),,,,equipment
아스카탄의 결의 망토,Resolute Askatan Cloak,,,,equipment
아스카탄의 결의 망토 (귀속),Resolute Askatan Cloak (Bound),,,,equipment
아스카탄의 수호 망토,Protective Askatan Cloak,,,,equipment
아스카탄의 수호 망토 (귀속),Protective Askatan Cloak (Bound),,,,equipment
아스카탄의 용맹 망토,Courageous Askatan Cloak,,,,equipment
아스카탄의 용맹 망토 (귀속),Courageous Askatan Cloak (Bound),,,,equipment
아스카탄의 투지 망토,Valorous Askatan Cloak,,,,equipment
아스카탄의 투지 망토 (귀속),Valorous Askatan Cloak (Bound),,,,equipment
영광의 회복 반지 (귀속),Glorious Recovery Ring (Bound),,,,equipment
신뢰의 방어 반지 (귀속),Trusted Defense Ring (Bound),,,,equipment
명예의 저항 반지 (귀속),Honored Resistance Ring (Bound),,,,equipment
브렐란의 장인 태도,Brellan Master Tachi,,,,equipment
브렐란의 장인 지팡이,Brellan Master Staff,,,,equipment
브렐란의 장인 권총,Brellan Master Pistols,,,,equipment
브렐란의 장인 장검,Brellan Master Longsword,,,,equipment
브렐란의 장인 전투망치,Brellan Master War Hammer,,,,equipment
브렐란의 장인 도끼,Brellan Master Axe,,,,equipment
브렐란의 장인 단도,Brellan Master Dagger,,,,equipment
브렐란의 장인 수정구,Brellan Master Crystal Ball,,,,equipment
브렐란의 장인 장총,Brellan Master Rifle,,,,equipment
브렐란의 장인 방패,Brellan Master Shield,,,,equipment
브렐란의 장인 건틀릿,Brellan Master Gauntlets,,,,equipment
브렐란의 장인 포,Brellan Master Cannon,,,,equipment
브렐란의 신념 장인 갑옷,Faithful Brellan Master Armor,,,,equipment
브렐란의 총명 장인 갑옷,Wise Brellan Master Armor,,,,equipment
브렐란의 결의 장인 갑옷,Resolute Brellan Master Armor,,,,equipment
브렐란의 수호 장인 갑옷,Protective Brellan Master Armor,,,,equipment
브렐란의 용맹 장인 갑옷,Courageous Brellan Master Armor,,,,equipment
브렐란의 투지 장인 갑옷,Valorous Brellan Master Armor,,,,equipment
브렐란의 신념 장인 장갑,Faithful Brellan Master Gloves,,,,equipment
브렐란의 총명 장인 장갑,Wise Brellan Master Gloves,,,,equipment
브렐란의 결의 장인 장갑,Resolute Brellan Master Gloves,,,,equipment
브렐란의 수호 장인 장갑,Protective Brellan Master Gloves,,,,equipment
브렐란의 용맹 장인 장갑,Courageous Brellan Master Gloves,,,,equipment
브렐란의 투지 장인 장갑,Valorous Brellan Master Gloves,,,,equipment
브렐란의 신념 장인 신발,Faithful Brellan Master Shoes,,,,equipment
브렐란의 총명 장인 신발,Wise Brellan Master Shoes,,,,equipment
브렐란의 결의 장인 신발,Resolute Brellan Master Shoes,,,,equipment
브렐란의 수호 장인 신발,Protective Brellan Master Shoes,,,,equipment
브렐란의 용맹 장인 신발,Courageous Brellan Master Shoes,,,,equipment
브렐란의 투지 장인 신발,Valorous Brellan Master Shoes,,,,equipment
브렐란의 장인 목걸이,Brellan Master Necklace,,,,equipment
브렐란의 장인 귀걸이,Brellan Master Earrings,,,,equipment
브렐란의 장인 벨트,Brellan Master Belt,,,,equipment
브렐란의 태도 (귀속),Brellan Tachi (Bound),,,,equipment
브렐란의 지팡이 (귀속),Brellan Staff (Bound),,,,equipment
브렐란의 권총 (귀속),Brellan Pistols (Bound),,,,equipment
브렐란의 장검 (귀속),Brellan Longsword (Bound),,,,equipment
브렐란의 전투망치 (귀속),Brellan War Hammer (Bound),,,,equipment
브렐란의 도끼 (귀속),Brellan Axe (Bound),,,,equipment
브렐란의 단도 (귀속),Brellan Dagger (Bound),,,,equipment
브렐란의 수정구 (귀속),Brellan Crystal Ball (Bound),,,,equipment
브렐란의 장총 (귀속),Brellan Rifle (Bound),,,,equipment
브렐란의 방패 (귀속),Brellan Shield (Bound),,,,equipment
브렐란의 건틀릿 (귀속),Brellan Gauntlets (Bound),,,,equipment
브렐란의 포 (귀속),Brellan Cannon (Bound),,,,equipment
브렐란의 신념 갑옷 (귀속),Faithful Brellan Armor (Bound),,,,equipment
브렐란의 총명 갑옷 (귀속),Wise Brellan Armor (Bound),,,,equipment
브렐란의 결의 갑옷 (귀속),Resolute Brellan Armor (Bound),,,,equipment
브렐란의 수호 갑옷 (귀속),Protective Brellan Armor (Bound),,,,equipment
브렐란의 용맹 갑옷 (귀속),Courageous Brellan Armor (Bound),,,,equipment
브렐란의 투지 갑옷 (귀속),Valorous Brellan Armor (Bound),,,,equipment
브렐란의 신념 장갑 (귀속),Faithful Brellan Gloves (Bound),,,,equipment
브렐란의 총명 장갑 (귀속),Wise Brellan Gloves (Bound),,,,equipment
브렐란의 결의 장갑 (귀속),Resolute Brellan Gloves (Bound),,,,equipment
브렐란의 수호 장갑 (귀속),Protective Brellan Gloves (Bound),,,,equipment
브렐란의 용맹 장갑 (귀속),Courageous Brellan Gloves (Bound),,,,equipment
브렐란의 투지 장갑 (귀속),Valorous Brellan Gloves (Bound),,,,equipment
브렐란의 신념 신발 (귀속),Faithful Brellan Shoes (Bound),,,,equipment
브렐란의 총명 신발 (귀속),Wise Brellan Shoes (Bound),,,,equipment
브렐란의 결의 신발 (귀속),Resolute Brellan Shoes (Bound),,,,equipment
브렐란의 수호 신발 (귀속),Protective Brellan Shoes (Bound),,,,equipment
브렐란의 용맹 신발 (귀속),Courageous Brellan Shoes (Bound),,,,equipment
브렐란의 투지 신발 (귀속),Valorous Brellan Shoes (Bound),,,,equipment
브렐란의 목걸이 (귀속),Brellan Necklace (Bound),,,,equipment
브렐란의 귀걸이 (귀속),Brellan Earrings (Bound),,,,equipment
브렐란의 벨트 (귀속),Brellan Belt (Bound),,,,equipment
초심자의 조각품 (귀속),Amateur Sculpture (Bound),,,,equipment
초심자의 조각품,Amateur Sculpture,,,,equipment
숙련의 조각품 (귀속),Artisan Sculpture (Bound),,,,equipment
숙련의 조각품,Artisan Sculpture,,,,equipment
대양의 조각품 (귀속),Oceanic Sculpture (Bound),,,,equipment
대양의 조각품,Oceanic Sculpture,,,,equipment
명예의 조각품 (귀속),Honor Sculpture (Bound),,,,equipment
명예의 조각품,Honor Sculpture,,,,equipment
영광의 조각품 (귀속),Glory Sculpture (Bound),,,,equipment
영광의 조각품,Glory Sculpture,,,,equipment
신뢰의 조각품 (귀속),Trust Sculpture (Bound),,,,equipment
신뢰의 조각품,Trust Sculpture,,,,equipment
결속의 조각품 (귀속),Solidarity Sculpture (Bound),,,,equipment
결속의 조각품,Solidarity Sculpture,,,,equipment
브렐란의 조각품 (귀속),Brellan Sculpture (Bound),,,,equipment
브렐란의 조각품,Brellan Sculpture,,,,equipment
지쿠스의 조각품 (귀속),Zikus Sculpture (Bound),,,,equipment
지쿠스의 조각품,Zikus Sculpture,,,,equipment
판덴의 조각품 (귀속),Fanden Sculpture (Bound),,,,equipment
판덴의 조각품,Fanden Sculpture,,,,equipment
슈리온의 조각품 (귀속),Shurion Sculpture (Bound),,,,equipment
슈리온의 조각품,Shurion Sculpture,,,,equipment
엘튼의 조각품 (귀속),Eldon Sculpture (Bound),,,,equipment
엘튼의 조각품,Eldon Sculpture,,,,equipment
아스카탄의 조각품 (귀속),Askatan Sculpture (Bound),,,,equipment
아스카탄의 조각품,Askatan Sculpture,,,,equipment
뜨락의 수정 (귀속),Terrace Crystal (Bound),,,,equipment
뜨락의 수정,Terrace Crystal,,,,equipment
정원의 수정 (귀속),Garden Crystal (Bound),,,,equipment
정원의 수정,Garden Crystal,,,,equipment
대양의 수정 (귀속),Oceanic Crystal (Bound),,,,equipment
대양의 수정,Oceanic Crystal,,,,equipment
산맥의 수정 (귀속),Sierra Crystal (Bound),,,,equipment
산맥의 수정,Sierra Crystal,,,,equipment
영광의 수정 (귀속),Glory Crystal (Bound),,,,equipment
영광의 수정,Glory Crystal,,,,equipment
신뢰의 수정 (귀속),Trust Crystal (Bound),,,,equipment
신뢰의 수정,Trust Crystal,,,,equipment
결속의 수정 (귀속),Solidarity Crystal (Bound),,,,equipment
결속의 수정,Solidarity Crystal,,,,equipment
유성우의 수정 (귀속),Comet Crystal (Bound),,,,equipment
유성우의 수정,Comet Crystal,,,,equipment
은하수의 수정 (귀속),Galaxy Crystal (Bound),,,,equipment
은하수의 수정,Galaxy Crystal,,,,equipment
판덴의 수정 (귀속),Fanden Crystal (Bound),,,,equipment
판덴의 수정,Fanden Crystal,,,,equipment
슈리온의 수정 (귀속),Shurion Crystal (Bound),,,,equipment
슈리온의 수정,Shurion Crystal,,,,equipment
엘튼의 수정 (귀속),Eldon Crystal (Bound),,,,equipment
엘튼의 수정,Eldon Crystal,,,,equipment
아스카탄의 수정 (귀속),Askatan Crystal (Bound),,,,equipment
아스카탄의 수정,Askatan Crystal,,,,equipment
대양의 봉인함 (귀속),Oceanic Sealed Chest (Bound),,,,equipment
대양의 훈장 (귀속),Oceanic Medal (Bound),,,,equipment
영혼의 파편,Soul Shard,,,,soulstone
칠흑 영혼의 파편,Dark Soul Shard,,,,soulstone
활력의 영혼석,Vigor Soulstone,,,,soulstone
보호의 영혼석,Aegis Soulstone,,,,soulstone
철벽의 영혼석,Impervious Soulstone,,,,soulstone
의지의 영혼석,Will Soulstone,,,,soulstone
명중 영혼석,Accuracy Soulstone,,,,soulstone
민첩의 영혼석,Agility Soulstone,,,,soulstone
힘의 영혼석,Strength Soulstone,,,,soulstone
집중의 영혼석,Focus Soulstone,,,,soulstone
경계의 영혼석,Vigilance Soulstone,,,,soulstone
영혼석 승급석,Soul Upgrade Stone,,,,soulstone
영혼석 초월석,Soul Transcend Stone,,,,soulstone
빛나는 영혼의 파편,Shining Soul Shard,,,,soulstone
찬란한 영혼의 파편,Gleaming Soul Shard,,,,soulstone
영혼석 정화수 (귀속),Purifying Water (Bound),,,,soulstone
빛나는 영혼석 정화수 (귀속),Shining Purifying Water (Bound),,,,soulstone
축복의 영혼석 정화수 (귀속),Blessed Purifying Water (Bound),,,,soulstone
영혼석 초월석 (귀속),Soul Transcend Stone (Bound),,,,soulstone
영혼석 초월에 필요한 재료입니다.,Material required to transcend soulstones.,,,,soulstone
영혼석 정화수,Purifying Water,,,,soulstone
빛나는 영혼석 정화수,Shining Purifying Water,,,,soulstone
축복의 영혼석 정화수,Blessed Purifying Water,,,,soulstone
영혼석 초월석,Soul Transcend Stone,,,,soulstone
칠흑의 영혼석,Dark Soulstone,,,,soulstone
칠흑의 영혼석 (귀속),Dark Soulstone (Bound),,,,soulstone
기회의 영혼석,Chance Soulstone,,,,soulstone
조련된 갈색마,Trained Brown Horse,,,,mount
조련된 적토마,Trained Maroon Horse,,,,mount
조련된 흑마,Trained Black Horse,,,,mount
전투 사자,Battle Lion,,,,mount
용병단 사자,Mercenary Lion,,,,mount
조련된 거미,Trained Spider,,,,mount
조련된 산양,Trained Goat,,,,mount
전투 거미,Battle Spider,,,,mount
조련된 백마,Trained White Horse,,,,mount
사슬 전투사자,Chained Battle Lion,,,,mount
기사 전투사자,Knight's Battle Lion,,,,mount
일꾼 퐁퐁드,Worker Pongpong,,,,mount
운반용 산양,Transport Goat,,,,mount
전투용 산양,Battle Goat,,,,mount
방랑 퐁퐁드,Roaming Pongpong,,,,mount
기사단 전투마,Knight's Battle Horse,,,,mount
귀족의 백마,Noble White Horse,,,,mount
강철갑옷 산양,Steel Armor Goat,,,,mount
판금갑옷 산양,Plate Armor Goat,,,,mount
칼날 거미,Razor Spider,,,,mount
순백의 그리핀,Immaculate Gryphon,,,,mount
다과회 퐁퐁드,Tea Party Pongpong,,,,mount
나들이 퐁퐁드,Globetrotter Pongpong,,,,mount
어둠의 전투마,Dark Battle Horse,,,,mount
영웅의 전투마,Heroic Battle Horse,,,,mount
날개 전투사자,Winged Battle Lion,,,,mount
창공의 그리핀,Blue Sky Gryphon,,,,mount
퐁퐁로드 15세,Lord Pongpong XV,,,,mount
황혼의 고룡,Evenfall Ancient Dragon,,,,mount
철갑 고룡,Ironclad Ancient Dragon,,,,mount
브이퐁,Poipong,,,,mount
설원의 루돌프,Snowfield Rudolph,,,,mount
우아한 백마,Graceful White Horse,,,,mount
돌격의 칼로스,Charging Kalos,,,,mount
행진의 위니,Marching Winnie,,,,mount
전투 칼로스,Battle Kalos,,,,mount
돌진 칼로스,Quick Kalos,,,,mount
날개짓 위니,Flapping Winnie,,,,mount
바람깃 위니,Windway Winnie,,,,mount
칼날 칼로스,Razor Kalos,,,,mount
돌풍깃 위니,Gustway Winnie,,,,mount
어둠 칼로스,Dark Kalos,,,,mount
폭풍깃 위니,Stormway Winnie,,,,mount
바람갈기 늑대,Windmane Wolf,,,,mount
회색갈기 늑대,Graymane Wolf,,,,mount
붉은갈기 늑대,Redmane Wolf,,,,mount
기습 전투늑대,Battle Wolf Raider,,,,mount
승리 전투늑대,Apex Battle Wolf,,,,mount
지배 전투늑대,Battle Wolf Rex,,,,mount
달빛 페가수스,Moonlight Pegasus,,,,mount
태양의 불사조,Solar Phoenix,,,,mount
두몽,Doomog,,,,pet
두들,Doodle,,,,pet
무카,Muka,,,,pet
랍스,Lobs,,,,pet
로코,Rocco,,,,pet
글로그,Grog,,,,pet
리자드,Lizard,,,,pet
피라쿠,Piraku,,,,pet
오르가,Orga,,,,pet
프로기,Froggy,,,,pet
크로우,Crow,,,,pet
블란,Vlan,,,,pet
카바,Cava,,,,pet
하피,Harpy,,,,pet
새싹 엔트,Ent Sprout,,,,pet
스포아,Spora,,,,pet
드라스,Dras,,,,pet
만고라,Mangora,,,,pet
코볼트,Kobold,,,,pet
골렘,Golem,,,,pet
비즐리,Beezly,,,,pet
햇볕 티노,Sunny Tino,,,,pet
호박,Pumpkin,,,,pet
감자,Potato,,,,pet
코카스,Kokas,,,,pet
오그혼,Hoghorn,,,,pet
포포로,Poporo,,,,pet
위습,Wisp,,,,pet
두두,Dood,,,,pet
깜이,Kami,,,,pet
티노,Tino,,,,pet
눈송이 야카,Snowflake Yaka,,,,pet
모래 야카,Sand Yaka,,,,pet
포마,Poma,,,,pet
해그위디,Hegwid,,,,pet
꼬마 바쿤,Little Baktar,,,,pet
티나,Tina,,,,pet
꼬마 디눅스,Little Dinuks,,,,pet
아누크,Anouk,,,,pet
파푸스,Pappsi,,,,pet
펭타클트리,Pengta Tree,,,,pet
작은 트롤,Small Troll,,,,pet
만티노,Mantino,,,,pet
베나티,Benati,,,,pet
펭타클스타,Pengta Star,,,,pet
샤키르,Shakir,,,,pet
비스,Baz,,,,pet
펭타클로스,Pengta Claus,,,,pet
페라손,Pason,,,,pet
꼬마 루스칼,Little Ruskal,,,,pet
꼬마 브로카이스,Little Brokut,,,,pet
코볼트 부대장,Kobold Vice-Captain,,,,pet
레피,Rapi,,,,pet
바시크,Baske,,,,pet
제루드,Jarod,,,,pet
바즈,Bauz,,,,pet
말리토,Malito,,,,pet
코볼트 대장,Kobold Captain,,,,pet
팔룬,Palin,,,,pet
림스카,Rimska,,,,pet
슈라,Shura,,,,pet
바돈,Bhadon,,,,pet
슬라임,Slime,,,,pet
꼬마 아르투만,Little Artuman,,,,pet
꼬마 파르비네아,Little Falvinia,,,,pet
스노우팽,Snowpeng,,,,pet
이블린,Evelyn,,,,fellow(companion)
밀리아,Millia,,,,fellow(companion)
카셀,Cassel,,,,fellow(companion)
라츠,Latz,,,,fellow(companion)
버나드,Bernard,,,,fellow(companion)
유리닐,Yurinil,,,,fellow(companion)
마리모,Marimo,,,,fellow(companion)
브리조스,Brijos,,,,fellow(companion)
리비,River,,,,fellow(companion)
루,Lu,,,,fellow(companion)
도스,Dodd,,,,fellow(companion)
라제,Razi,,,,fellow(companion)
발레리오,Valerio,,,,fellow(companion)
포드,Bodi,,,,fellow(companion)
푸스,Posh,,,,fellow(companion)
일로,Iru,,,,fellow(companion)
알펀,Alvon,,,,fellow(companion)
파닐레,Vanille,,,,fellow(companion)
코스터,Koster,,,,fellow(companion)
아루,Aru,,,,fellow(companion)
라이언,Laion,,,,fellow(companion)
타타피,Tatapi,,,,fellow(companion)
라일라,Laila,,,,fellow(companion)
아이작,Isaac,,,,fellow(companion)
트레이스,Trace,,,,fellow(companion)
몬드린,Mondrin,,,,fellow(companion)
오르그,Orlog,,,,fellow(companion)
조이,Joy,,,,fellow(companion)
슈렌,Suren,,,,fellow(companion)
리케,Rikki,,,,fellow(companion)
오터스,Otis,,,,fellow(companion)
카일,Kyle,,,,fellow(companion)
브리디,Bridi,,,,fellow(companion)
알베레스,Alvarez,,,,fellow(companion)
카트리,Katri,,,,fellow(companion)
앤,Ann,,,,fellow(companion)
코발트,Cobalt,,,,fellow(companion)
베니,Benny,,,,fellow(companion)
미하일,Mikhail,,,,fellow(companion)
쥬리,Juri,,,,fellow(companion)
제이든,Jaden,,,,fellow(companion)
우디,Odie,,,,fellow(companion)
세바스찬,Sebastian,,,,fellow(companion)
고빌,Kobil,,,,fellow(companion)
파스토르,Pastor,,,,fellow(companion)
게너스,Kenneth,,,,fellow(companion)
누야모,Nuyamo,,,,fellow(companion)
슈릴,Shuryl,,,,fellow(companion)
주크,Zouk,,,,fellow(companion)
고든 지쿠스,Gordon Zikus,,,,fellow(companion)
카노테온,Kanoteon,,,,fellow(companion)
타르시,Tharsi,,,,fellow(companion)
비바나,Viviana,,,,fellow(companion)
조린,Zolin,,,,fellow(companion)
루프레치,Rupert,,,,fellow(companion)
히베니,Hivani,,,,fellow(companion)
이솔드,Isolde,,,,fellow(companion)
베트,Baerd,,,,fellow(companion)
도나단,Donovan,,,,fellow(companion)
아체르,Archero,,,,fellow(companion)
멜로디,Melody,,,,fellow(companion)
도리언,Dorion,,,,fellow(companion)
헤마,Hema,,,,fellow(companion)
비르기타,Birkos,,,,fellow(companion)
카바시안,Kabasian,,,,fellow(companion)
마빈,Marvin,,,,fellow(companion)
달리아,Dahlia,,,,fellow(companion)
자칸,Zakan,,,,fellow(companion)
바쿠,Baku,,,,fellow(companion)
도나르트,Donnert,,,,fellow(companion)
데드릭,Diedrich,,,,fellow(companion)
체라스,Jerath,,,,fellow(companion)
로벤,Ruben,,,,fellow(companion)
마리엘,Marielle,,,,fellow(companion)
제논,Xenon,,,,fellow(companion)
알돈,Aldon,,,,fellow(companion)
퀼림,Quilliem,,,,fellow(companion)
아바토,Abato,,,,fellow(companion)
베실라,Beshila,,,,fellow(companion)
키칸,Kikan,,,,fellow(companion)
프론,Frond,,,,fellow(companion)
보오드,Vaude,,,,fellow(companion)
자르타,Jarter,,,,fellow(companion)
가디온,Guardion,,,,fellow(companion)
파밀라,Pamila,,,,fellow(companion)
라시트,Racite,,,,fellow(companion)
리노어,Lenore,,,,fellow(companion)
리노어,Lenore,,,,fellow(companion)
리기,Ricky,,,,fellow(companion)
이트,Ito,,,,fellow(companion)
홀랜,Harlen,,,,fellow(companion)
베릴,Veril,,,,fellow(companion)
다니엘,Daniel,,,,fellow(companion)
기렐,Gillian,,,,fellow(companion)
도도바,Dodoba,,,,fellow(companion)
바루루,Baruru,,,,fellow(companion)
뚜야모,Duyamo,,,,fellow(companion)
악몽의 이블린,Nightmare Evelyn,,,,fellow(companion)
후회의 밀리아,Regretful Millia,,,,fellow(companion)
소원의 카셀,Ambitious Cassel,,,,fellow(companion)
심연의 라츠,Abyss Latz,,,,fellow(companion)
피피바,Pibiba,,,,fellow(companion)
슈슈피,Shushupi,,,,fellow(companion)
린,Lyn,,,,fellow(companion)
탈리디스카,Talidisca,,,,fellow(companion)
크레피스,Kreps,,,,fellow(companion)
트리페,Trippe,,,,fellow(companion)
팔민,Palmin,,,,fellow(companion)
카닐리아,Carnelia,,,,fellow(companion)
바고튼,Vagodon,,,,fellow(companion)
모블레,Mobly,,,,fellow(companion)
메논,Menon,,,,fellow(companion)
브리오카,Brioka,,,,fellow(companion)
리타,Lita,,,,fellow(companion)
소녀 밀리아,Young Millia,,,,fellow(companion)
소년 카셀,Young Cassel,,,,fellow(companion)
소년 라츠,Young Latz,,,,fellow(companion)
아디테,Adete,,,,fellow(companion)
피엔체 판덴,Pienche Fanden,,,,fellow(companion)
발리언,Valion,,,,fellow(companion)
생산,Production,,,,production
대장기술,Blacksmithing,,,,production
세공술,Polishing,,,,production
연금술,Alchemy,,,,production
약초수집,HerbCollecting,,,,production
채광,Mining,,,,production
벌목,Woodcutting,,,,production
발굴,Digging,,,,production
특화,Talent,,,,hamburgermenu
캐릭터,Character,,,,hamburgermenu
마석 각인,Imprinting,,,,hamburgermenu
스킬,Skills,,,,hamburgermenu
특화,Talents,,,,hamburgermenu
잠재력 개방,Potential,,,,hamburgermenu
장비 공방,Workshop,,,,hamburgermenu
영혼석,Soulstones,,,,hamburgermenu
탈것,Mounts,,,,hamburgermenu
소환수,Pets,,,,hamburgermenu
동료,Companions,,,,hamburgermenu
동료,Fellow,,,,hamburgermenu
생산,Production,,,,hamburgermenu
퀘스트 일람,Quests,,,,hamburgermenu
업적,Feats,,,,hamburgermenu
업적,Achievements,,,,hamburgermenu
임무,Missions,,,,hamburgermenu
몬스터 조사,Research,,,,hamburgermenu
지도,Map,,,,hamburgermenu
몽환의 틈,Abyss,,,,hamburgermenu
몽환의 틈,FieldDungeon,,,,hamburgermenu
악마토벌,Demons,,,,hamburgermenu
악마토벌,SoloDungeon,,,,hamburgermenu
필드보스,Region Boss,,,,hamburgermenu
필드보스,Field Boss,,,,hamburgermenu
루나트라,Lunatra,,,,hamburgermenu
아이템 수집,Item Sets,,,,hamburgermenu
아이템 수집,Item collection,,,,hamburgermenu
친구,Friends,,,,hamburgermenu
길드,Guild,,,,hamburgermenu
거래소,Trading Post,,,,hamburgermenu
교환소,Penguint Exchange,,,,hamburgermenu
순위,Rank,,,,hamburgermenu
출석부,Check-ins,,,,hamburgermenu
출석부,Attendance,,,,hamburgermenu
외형 변경,Appearance,,,,hamburgermenu
조작키,Controls,,,,hamburgermenu
스크린샷,Screenshot,,,,hamburgermenu
캐릭터 선택,Characters,,,,hamburgermenu
우편,Mail,,,,hamburgermenu
절전모드,Sleep Mode,,,,hamburgermenu
설정,Settings,,,,hamburgermenu
월드보스,World Boss,,,,hamburgermenu
월드 보스,World Boss,,,,hamburgermenu
스케줄러,Scheduler,,,,hamburgermenu
영지 쟁탈전,Territory War,,,,hamburgermenu
특수 네임드,Special Named,,,,hamburgermenu
완료,Complete,,,,ui&etc
자동 진행,Auto-Play,,,,ui&etc
보상 획득,Acquire Reward,,,,ui&etc
퀘스트 포기,Quit Quest,,,,ui&etc
위치 보기,View Location,,,,ui&etc
퀘스트 수락,Accept Quest,,,,ui&etc
즉시 완료,Instant Complete,,,,ui&etc
초기화,Reset,,,,ui&etc
진행 보상,Progress Reward,,,,ui&etc
네임드 토벌,Named Conquest,,,,ui&etc
퀘스트 수락,Accept Quest,,,,ui&etc
즉시 완료,Instant Complete,,,,ui&etc
취소,Cancel,,,,ui&etc
캐릭터 삭제,Delete Character,,,,ui&etc
나가기,Exit,,,,ui&etc
장착,Equip,,,,ui&etc
해제,Remove,,,,ui&etc
소지품 버리기,Discard Belongings,,,,ui&etc
버리기,Discard,,,,ui&etc
전투력,CP,,,,ui&etc
전투력,CombatPower,,,,ui&etc
전투력,Combat Power,,,,ui&etc
공격 영혼석,Attack Soulstone,,,,ui&etc
방어 영혼석,Defense Soulstone,,,,ui&etc
생명력 영혼석,HP Soulstone,,,,ui&etc
자원 영혼석,Wealth Soulstone,,,,ui&etc
명중 영혼석,Accuracy Soulstone,,,,ui&etc
회피 영혼석,Evasion Soulstone,,,,ui&etc
막기 영혼석,Parry Soulstone,,,,ui&etc
치명타 영혼석,Critical Hit Soulstone,,,,ui&etc
치명저항 영혼석,Critical Resistance Soulstone,,,,ui&etc
기본 정보,Basic Info,,,,ui&etc
스킬,Skills,,,,ui&etc
룬 정보,Rune Info,,,,ui&etc
장비 숙련,Gear Mastery,,,,ui&etc
내 전투력,My CP,,,,ui&etc
기준 전투력,Base CP,,,,ui&etc
업적,Feats,,,,ui&etc
칭호,Title,,,,ui&etc
육성 정보,Improvement Info,,,,ui&etc
룬,Runes,,,,ui&etc
대장간,Forge,,,,ui&etc
해제,Remove,,,,ui&etc
미습득,Locked,,,,ui&etc
스킬 목록,Skill List,,,,ui&etc
상세 정보,Details,,,,ui&etc
현재 레벨,Current Lv,,,,ui&etc
다음 레벨,Next Lv,,,,ui&etc
강화,Enhance,,,,ui&etc
재사용 시간,Cooldown,,,,ui&etc
정신력,MP,,,,ui&etc
기력,Stamina,,,,ui&etc
집중력,Focus,,,,ui&etc
탄환,Ammo,,,,ui&etc
예열,Resolve,,,,ui&etc
분노,Rage,,,,ui&etc
기류,Flux,,,,ui&etc
기본,Basic,,,,ui&etc
1단 강화,1st Enhancement,,,,ui&etc
2단 강화,2nd Enhancement,,,,ui&etc
총 숙련도,Total Mastery,,,,ui&etc
승급,Upgrade,,,,ui&etc
레벨업,Level Up,,,,ui&etc
강화 성공,Enhancement Successful,,,,ui&etc
강화 실패,Enhancement Failed,,,,ui&etc
강화,Enhance,,,,ui&etc
장비 숙련,Gear Mastery,,,,ui&etc
영혼석,Soulstone,,,,ui&etc
슬롯 정보,Slot Info,,,,ui&etc
장착 룬,Runes Equipped,,,,ui&etc
보유 룬,Runes Owned,,,,ui&etc
강화,Enhance,,,,ui&etc
해제,Remove,,,,ui&etc
능력치,Stats,,,,ui&etc
메인 능력치,Main Stats,,,,ui&etc
서브 능력치,Sub Stats,,,,ui&etc
강화,Enhance,,,,ui&etc
성공 확률,Success Rate,,,,ui&etc
강화 레벨,Enhancement Lv,,,,ui&etc
모두 받기 결과,Receive All Results,,,,ui&etc
캐릭터 정보,Character Info,,,,ui&etc
인연,Fellow Relationship,,,,ui&etc
탈것,Mount,,,,ui&etc
추가 전투력,Additional CP,,,,ui&etc
추가 능력치 보기,View Additional Stats,,,,ui&etc
영혼석,Soulstone,,,,ui&etc
소모품,Consumable,,,,ui&etc
버리기,Discard,,,,ui&etc
장착,Equip,,,,ui&etc
해제,Remove,,,,ui&etc
메인무기,Main Weapon,,,,ui&etc
보조무기,Sub Weapon,,,,ui&etc
갑옷,Armor,,,,ui&etc
장갑,Gloves,,,,ui&etc
